Feature,Coefficient
Data Science Manager,46842.537842826256
Computer Vision Engineer,44510.26179604284
Applied Scientist,27230.344434931478
Machine Learning Scientist,20023.36401826486
Research Engineer,10497.589146469983
Machine Learning Engineer,10302.905734655245
Research Scientist,7792.864321295182
ML Engineer,5886.769732550587
Data Architect,-157.16231506841095
Data Scientist,-2769.9199992789795
Data Engineer,-9153.295342465686
Data Analytics Manager,-21754.086962127254
BI Developer,-41177.21295143201
Data Analyst,-47315.18919742156
Data Manager,-48163.66931506836
Data Science Consultant,-49564.96181506849
Data Specialist,-53876.23113325015
